difficulty,category,xp_reward,user_streak,category_familiarity,completed
Medium,Mind,125,10,0.2969,1
Epic,Health,505,25,0.0006,1
Hard,Mind,246,25,0.9631,1
Medium,Endurance,131,13,0.9175,1
Easy,Strength,63,6,0.7646,1
Easy,Endurance,56,0,0.0791,1
Easy,Strength,69,25,0.4475,1
Hard,Intellect,260,24,0.1019,0
Medium,Discipline,118,12,0.0159,0
Hard,Endurance,252,19,0.6162,1
Easy,Mind,63,2,0.9608,1
Epic,Intellect,499,19,0.9029,1
Hard,Discipline,260,3,0.6968,0
Easy,Mind,67,28,0.0966,1
Easy,Health,61,25,0.2742,1
Easy,Mind,74,10,0.3201,1
Easy,Strength,71,1,0.7632,1
Medium,Strength,117,13,0.8022,1
Medium,Health,119,11,0.3851,1
Easy,Intellect,73,29,0.4179,1
Medium,Discipline,126,16,0.0445,1
Easy,Mind,61,11,0.2891,1
Easy,Strength,63,25,0.4513,1
Medium,Intellect,120,11,0.117,1
Medium,Health,131,0,0.4533,0
Hard,Endurance,260,12,0.8532,0
Easy,Strength,57,13,0.5813,1
Medium,Health,118,23,0.0789,1
Medium,Mind,124,29,0.1917,1
Easy,Discipline,59,1,0.4745,1
Medium,Strength,124,11,0.3615,1
Easy,Strength,66,25,0.3587,1
Easy,Mind,64,20,0.5293,1
Epic,Endurance,507,27,0.5844,1
Epic,Intellect,505,15,0.7969,0
Hard,Discipline,260,3,0.341,1
Easy,Strength,62,7,0.8055,1
Easy,Discipline,62,1,0.3386,1
Medium,Strength,122,9,0.0554,1
Medium,Discipline,127,8,0.5542,0
Easy,Health,56,22,0.5879,1
Medium,Strength,126,14,0.9345,1
Easy,Discipline,64,12,0.7261,1
Epic,Intellect,506,22,0.9178,0
Easy,Health,65,16,0.9083,1
Medium,Health,129,29,0.6046,1
Easy,Intellect,70,15,0.5278,1
Medium,Discipline,131,27,0.5574,1
Medium,Mind,116,1,0.9783,1
Easy,Intellect,72,19,0.7732,1
Epic,Discipline,506,19,0.1063,1
Hard,Intellect,263,26,0.7784,1
Epic,Intellect,512,13,0.1705,1
Hard,Strength,261,2,0.4474,1
Medium,Discipline,120,22,0.2105,1
Epic,Mind,509,11,0.6896,1
Easy,Strength,57,7,0.8773,1
Easy,Intellect,60,1,0.2904,1
Easy,Endurance,57,3,0.082,0
Easy,Intellect,55,13,0.2985,0
Medium,Intellect,127,15,0.6724,1
Easy,Discipline,68,18,0.3288,1
Hard,Discipline,257,1,0.2781,0
Medium,Strength,118,11,0.1844,0
Easy,Mind,61,28,0.4975,1
Medium,Strength,124,13,0.2759,1
Easy,Health,61,5,0.731,1
Hard,Intellect,259,12,0.0766,0
Easy,Endurance,69,3,0.664,1
Epic,Intellect,498,21,0.2376,1
Hard,Intellect,250,17,0.4893,1
Easy,Strength,74,11,0.2861,1
Easy,Endurance,59,19,0.7228,1
Hard,Endurance,264,26,0.9453,1
Hard,Endurance,256,21,0.9171,1
Hard,Strength,245,29,0.5834,0
Hard,Intellect,252,20,0.4626,1
Easy,Strength,55,18,0.8183,1
Medium,Discipline,119,7,0.6833,1
Easy,Discipline,60,6,0.1836,1
Hard,Strength,247,15,0.8209,0
Medium,Endurance,129,18,0.4289,1
Easy,Intellect,59,5,0.189,1
Easy,Strength,68,19,0.2818,0
Easy,Strength,72,26,0.2675,1
Easy,Strength,70,20,0.5192,0
Hard,Health,250,10,0.2344,1
Medium,Discipline,128,4,0.1236,1
Hard,Endurance,252,15,0.1237,1
Medium,Mind,121,6,0.5833,1
Easy,Endurance,62,26,0.7348,1
Hard,Mind,257,4,0.3215,0
Hard,Health,250,10,0.0347,1
Medium,Strength,132,14,0.1272,1
Hard,Health,246,2,0.9147,1
Medium,Health,122,25,0.4935,1
Medium,Intellect,125,4,0.4536,1
Medium,Discipline,115,22,0.038,1
Easy,Mind,60,20,0.7286,1
Easy,Strength,70,4,0.5281,1
Easy,Mind,74,8,0.2021,0
Medium,Endurance,126,14,0.1101,1
Easy,Mind,65,2,0.3834,0
Medium,Endurance,124,28,0.8372,1
Epic,Discipline,497,5,0.8653,1
Easy,Endurance,67,16,0.6028,1
Medium,Mind,117,25,0.7275,1
Hard,Mind,259,20,0.1152,0
Easy,Endurance,70,7,0.5881,1
Easy,Health,67,20,0.667,1
Easy,Discipline,71,24,0.2007,1
Easy,Intellect,57,10,0.8802,1
Epic,Strength,514,5,0.195,0
Hard,Mind,255,7,0.3135,0
Medium,Strength,133,9,0.6206,1
Hard,Intellect,255,23,0.6384,1
Hard,Strength,260,28,0.6994,1
Easy,Intellect,57,2,0.112,1
Hard,Endurance,250,22,0.8495,1
Medium,Health,128,13,0.5328,0
Hard,Mind,262,22,0.4713,1
Hard,Intellect,261,13,0.9811,1
Easy,Strength,58,9,0.7404,1
Easy,Mind,69,11,0.118,1
Easy,Health,65,5,0.7565,1
Medium,Endurance,117,11,0.0952,1
Hard,Mind,247,22,0.0275,1
Hard,Intellect,260,13,0.4036,0
Easy,Health,59,1,0.9936,1
Medium,Strength,124,8,0.1749,1
Medium,Health,133,9,0.6726,1
Easy,Health,58,25,0.1734,1
Easy,Discipline,73,16,0.7248,1
Easy,Health,65,16,0.5054,1
